filename,spanning_pct,rows_count,column_count,total_cells,aspect_ratio,width_added,height_added,is_complex,area_added
000003799620000010_f1231201910-k-t337,0.21428571428571427,2,7,11,10.17269076305221,0,508,1,-2576061
000002134416000050_a2015123110-k-t163,0.23129251700680273,21,7,113,1.694314381270903,1266,519,1,-9045343
000003408819000010_xom10k2018-t38,0.08333333333333333,6,4,22,4.61384335154827,0,358,1,-1816161
000003799620000010_f1231201910-k-t62,0.3673469387755102,7,7,31,4.382352941176471,0,344,1,-1742704
000002134416000050_a2015123110-k-t387,0.2222222222222222,12,3,28,2.792723263506064,0,179,1,-909347
000002134416000050_a2015123110-k-t181,0.24242424242424243,22,9,150,0.8853547710590702,1594,0,1,-9123729
000007085816000166_bac-331201610xq-t653,0.4043956043956044,35,13,271,0.9501125281320331,1399,0,1,-7462134
000002134416000050_a2015123110-k-t58,0.0,4,7,28,6.630890052356021,0,442,0,-2239172
000002134416000050_a2015123110-k-t348,0.42857142857142855,14,17,136,2.444980694980695,0,115,1,-582590
000003799620000010_f1231201910-k-t313,0.24,5,5,19,5.1171717171717175,0,385,1,-1952943
000003799615000064_f0930201510-q-t39,0.44871794871794873,18,13,129,1.9499615088529638,1266,617,1,-9541811
000006480316000074_cvs-20151231x10k-t34,0.11428571428571428,5,7,31,2.94792899408284,0,200,1,-996400
000007085816000166_bac-331201610xq-t442,0.3701923076923077,16,13,131,1.6394822006472491,1266,494,1,-8918693
000003799620000010_f1231201910-k-t345,0.3956043956043956,13,7,55,2.611340206185567,0,148,1,-749768
000003799620000010_f1231201910-k-t310,0.42,20,15,174,1.4624711316397228,1266,400,1,-8445022
000007085816000166_bac-331201610xq-t150,0.41975308641975306,9,9,47,3.582743988684583,0,279,1,-1415947
000002134416000050_a2015123110-k-t128,0.3333333333333333,9,7,42,3.582743988684583,0,279,1,-1415947
000003799620000010_f1231201910-k-t175,0.0,13,2,26,2.611340206185567,0,148,0,-749768
000003799620000010_f1231201910-k-t334,0.2,4,5,16,6.630890052356021,0,442,1,-2239172
000003799615000064_f0930201510-q-t65,0.3611111111111111,8,9,46,3.9271317829457364,0,310,1,-1572993
000007085816000166_bac-331201610xq-t521,0.2857142857142857,7,5,25,4.0334394904458595,0,319,1,-1616054
000007085816000166_bac-331201610xq-t277,0.5769230769230769,6,13,33,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t47,0.36666666666666664,20,9,114,1.7091767881241566,1266,525,1,-9078272
000003408819000010_xom10k2018-t61,0.03676470588235294,34,8,262,0.8250814332247557,1803,0,1,-11073490
000007085816000166_bac-331201610xq-t498,0.5238095238095238,7,9,30,4.382352941176471,0,344,1,-1742704
000002134416000050_a2015123110-k-t173,0.325,8,5,27,3.894573643410853,0,305,1,-1534832
000003799615000064_f0930201510-q-t138,0.3,4,5,14,6.630890052356021,0,442,1,-2239172
000003799615000064_f0930201510-q-t18,0.3713235294117647,16,17,171,1.3545454545454545,1266,331,1,-8095468
000003799615000064_f0930201510-q-t80,0.3986013986013986,13,11,86,2.611340206185567,0,148,1,-749768
000002134416000050_a2015123110-k-t275,0.15384615384615385,5,13,55,5.692134831460674,0,410,1,-2079593
000002134416000050_a2015123110-k-t277,0.23076923076923078,4,13,40,6.630890052356021,0,442,1,-2239172
000003408819000010_xom10k2018-t86,0.03333333333333333,10,3,29,3.0299043062200957,0,215,1,-1089190
000002134416000050_a2015123110-k-t437,0.0,9,2,18,3.346103038309115,0,254,0,-1289297
000003799620000010_f1231201910-k-t139,0.25925925925925924,9,3,20,3.582743988684583,0,279,1,-1415947
000007085816000166_bac-331201610xq-t180,0.41420118343195267,13,13,99,2.164957264957265,0,48,1,-243168
000003799620000010_f1231201910-k-t320,0.34285714285714286,14,5,46,2.444980694980695,0,115,1,-582590
000002134416000050_a2015123110-k-t50,0.34615384615384615,4,13,34,6.630890052356021,0,442,1,-2239172
000003799620000010_f1231201910-k-t275,0.3945578231292517,42,7,178,0.8813500347947112,1607,0,1,-9239910
000003408808000057_r10q050608-t8,0.04,40,5,192,0.5489981785063752,1991,0,1,-10933335
000006480316000074_cvs-20151231x10k-t50,0.0,27,3,78,0.9968516332152696,1274,0,0,-6477009
000002134416000050_a2015123110-k-t185,0.3939393939393939,6,11,40,4.956947162426615,0,377,1,-1912415
000007085816000166_bac-331201610xq-t23,0.35714285714285715,10,7,45,3.272609819121447,0,246,1,-1246236
000007085816000166_bac-331201610xq-t668,0.0,18,2,36,1.2362127867252317,1266,242,0,-7642061
000003799620000010_f1231201910-k-t3,0.0,4,3,12,6.630890052356021,0,442,0,-2239172
